,tconst,primaryTitle,startYear,runtimeMinutes,genres,Decennie
34805,tt0035423,Kate & Leopold,2001,118,Comedy,2000s
34805,tt0035423,Kate & Leopold,2001,118,Fantasy,2000s
34805,tt0035423,Kate & Leopold,2001,118,Romance,2000s
39861,tt0040559,La macchina ammazzacattivi,1952,80,Comedy,1950s
39861,tt0040559,La macchina ammazzacattivi,1952,80,Fantasy,1950s
40408,tt0041117,Ambush,1950,90,Western,1950s
40472,tt0041181,Black Hand,1950,92,Crime,1950s
40472,tt0041181,Black Hand,1950,92,Film-Noir,1950s
40472,tt0041181,Black Hand,1950,92,Thriller,1950s
40673,tt0041387,Francis,1950,91,Comedy,1950s
40673,tt0041387,Francis,1950,91,Drama,1950s
40673,tt0041387,Francis,1950,91,Family,1950s
40928,tt0041649,Mi adorado Juan,1950,91,Comedy,1950s
40973,tt0041694,No Man of Her Own,1950,98,Drama,1950s
40973,tt0041694,No Man of Her Own,1950,98,Film-Noir,1950s
40973,tt0041694,No Man of Her Own,1950,98,Romance,1950s
40997,tt0041719,Orpheus,1950,112,Drama,1950s
40997,tt0041719,Orpheus,1950,112,Fantasy,1950s
40997,tt0041719,Orpheus,1950,112,Romance,1950s
41205,tt0041931,Stromboli,1950,107,Drama,1950s
41310,tt0042039,Whirlpool,1950,98,Crime,1950s
41310,tt0042039,Whirlpool,1950,98,Drama,1950s
41310,tt0042039,Whirlpool,1950,98,Film-Noir,1950s
41444,tt0042176,711 Ocean Drive,1950,102,Action,1950s
41444,tt0042176,711 Ocean Drive,1950,102,Crime,1950s
41444,tt0042176,711 Ocean Drive,1950,102,Drama,1950s
41447,tt0042179,Abbott and Costello in the Foreign Legion,1950,80,Adventure,1950s
41447,tt0042179,Abbott and Costello in the Foreign Legion,1950,80,Comedy,1950s
41460,tt0042192,All About Eve,1950,138,Drama,1950s
41468,tt0042200,Annie Get Your Gun,1950,107,Comedy,1950s
41468,tt0042200,Annie Get Your Gun,1950,107,Musical,1950s
41468,tt0042200,Annie Get Your Gun,1950,107,Romance,1950s
41473,tt0042206,Armored Car Robbery,1950,67,Action,1950s
41473,tt0042206,Armored Car Robbery,1950,67,Adventure,1950s
41473,tt0042206,Armored Car Robbery,1950,67,Crime,1950s
41475,tt0042208,The Asphalt Jungle,1950,112,Crime,1950s
41475,tt0042208,The Asphalt Jungle,1950,112,Drama,1950s
41475,tt0042208,The Asphalt Jungle,1950,112,Film-Noir,1950s
41476,tt0042209,At War with the Army,1950,93,Comedy,1950s
41476,tt0042209,At War with the Army,1950,93,Musical,1950s
41476,tt0042209,At War with the Army,1950,93,War,1950s
41486,tt0042219,Backfire,1950,91,Crime,1950s
41486,tt0042219,Backfire,1950,91,Film-Noir,1950s
41486,tt0042219,Backfire,1950,91,Mystery,1950s
41496,tt0042229,The Baron of Arizona,1950,97,Biography,1950s
41496,tt0042229,The Baron of Arizona,1950,97,Crime,1950s
41496,tt0042229,The Baron of Arizona,1950,97,Drama,1950s
41497,tt0042230,Barricade,1950,77,Western,1950s
41509,tt0042242,Between Midnight and Dawn,1950,89,Crime,1950s
41509,tt0042242,Between Midnight and Dawn,1950,89,Drama,1950s
41509,tt0042242,Between Midnight and Dawn,1950,89,Film-Noir,1950s
41514,tt0042247,The Big Hangover,1950,82,Comedy,1950s
41516,tt0042249,The Big Lift,1950,120,Drama,1950s
41516,tt0042249,The Big Lift,1950,120,War,1950s
41517,tt0042250,Highway 301,1950,83,Crime,1950s
41517,tt0042250,Highway 301,1950,83,Drama,1950s
41517,tt0042250,Highway 301,1950,83,Film-Noir,1950s
41523,tt0042256,The Black Rose,1950,120,Adventure,1950s
41523,tt0042256,The Black Rose,1950,120,History,1950s
41523,tt0042256,The Black Rose,1950,120,Romance,1950s
41524,tt0042257,Blackmailed,1951,85,Crime,1950s
41524,tt0042257,Blackmailed,1951,85,Drama,1950s
41524,tt0042257,Blackmailed,1951,85,Thriller,1950s
41529,tt0042262,Blonde Dynamite,1950,66,Comedy,1950s
41529,tt0042262,Blonde Dynamite,1950,66,Crime,1950s
41529,tt0042262,Blonde Dynamite,1950,66,Family,1950s
41532,tt0042265,The Blue Lamp,1950,84,Crime,1950s
41532,tt0042265,The Blue Lamp,1950,84,Drama,1950s
41532,tt0042265,The Blue Lamp,1950,84,Thriller,1950s
41533,tt0042266,Blues Busters,1950,67,Action,1950s
41533,tt0042266,Blues Busters,1950,67,Adventure,1950s
41533,tt0042266,Blues Busters,1950,67,Comedy,1950s
41541,tt0042274,Borderline,1950,88,Crime,1950s
41541,tt0042274,Borderline,1950,88,Drama,1950s
41541,tt0042274,Borderline,1950,88,Film-Noir,1950s
41542,tt0042275,Born to Be Bad,1950,94,Drama,1950s
41542,tt0042275,Born to Be Bad,1950,94,Film-Noir,1950s
41543,tt0042276,Born Yesterday,1950,103,Comedy,1950s
41543,tt0042276,Born Yesterday,1950,103,Drama,1950s
41543,tt0042276,Born Yesterday,1950,103,Romance,1950s
41546,tt0042279,Branded,1950,104,Action,1950s
41546,tt0042279,Branded,1950,104,Adventure,1950s
41546,tt0042279,Branded,1950,104,Drama,1950s
41548,tt0042281,The Breaking Point,1950,97,Crime,1950s
41548,tt0042281,The Breaking Point,1950,97,Drama,1950s
41548,tt0042281,The Breaking Point,1950,97,Film-Noir,1950s
41549,tt0042282,Breakthrough,1950,91,Drama,1950s
41549,tt0042282,Breakthrough,1950,91,War,1950s
41550,tt0042283,Criminal Squad,1950,80,Crime,1950s
41550,tt0042283,Criminal Squad,1950,80,Drama,1950s
41553,tt0042286,Broken Arrow,1950,93,Drama,1950s
41553,tt0042286,Broken Arrow,1950,93,Romance,1950s
41553,tt0042286,Broken Arrow,1950,93,Western,1950s
41563,tt0042296,Caged,1950,96,Crime,1950s
41563,tt0042296,Caged,1950,96,Drama,1950s
41563,tt0042296,Caged,1950,96,Film-Noir,1950s
41582,tt0042315,The Cariboo Trail,1950,81,Western,1950s
41591,tt0042324,Chain Lightning,1950,94,Action,1950s
41591,tt0042324,Chain Lightning,1950,94,Adventure,1950s
41591,tt0042324,Chain Lightning,1950,94,Drama,1950s
41592,tt0042325,Champagne for Caesar,1950,99,Comedy,1950s
41592,tt0042325,Champagne for Caesar,1950,99,Romance,1950s
41594,tt0042327,Cheaper by the Dozen,1950,86,Comedy,1950s
41594,tt0042327,Cheaper by the Dozen,1950,86,Drama,1950s
41594,tt0042327,Cheaper by the Dozen,1950,86,Family,1950s
41598,tt0042332,Cinderella,1950,74,Animation,1950s
41598,tt0042332,Cinderella,1950,74,Family,1950s
41598,tt0042332,Cinderella,1950,74,Fantasy,1950s
41604,tt0042338,Colt .45,1950,74,Western,1950s
41606,tt0042340,The Company She Keeps,1951,82,Drama,1950s
41610,tt0042344,Copper Canyon,1950,84,Western,1950s
41618,tt0042352,Crisis,1950,95,Crime,1950s
41618,tt0042352,Crisis,1950,95,Drama,1950s
41618,tt0042352,Crisis,1950,95,Thriller,1950s
41620,tt0042354,The Forbidden Christ,1951,99,Drama,1950s
41620,tt0042354,The Forbidden Christ,1951,99,Mystery,1950s
41620,tt0042354,The Forbidden Christ,1951,99,War,1950s
41621,tt0042355,Story of a Love Affair,1950,98,Crime,1950s
41621,tt0042355,Story of a Love Affair,1950,98,Drama,1950s
41621,tt0042355,Story of a Love Affair,1950,98,Romance,1950s
41632,tt0042367,Cyrano de Bergerac,1950,113,Adventure,1950s
41632,tt0042367,Cyrano de Bergerac,1950,113,Drama,1950s
41632,tt0042367,Cyrano de Bergerac,1950,113,Romance,1950s
41637,tt0042372,Dallas,1950,94,Romance,1950s
41637,tt0042372,Dallas,1950,94,Western,1950s
41644,tt0042379,Dark City,1950,98,Crime,1950s
41644,tt0042379,Dark City,1950,98,Drama,1950s
41644,tt0042379,Dark City,1950,98,Film-Noir,1950s
41648,tt0042383,"Davy Crockett, Indian Scout",1950,71,Adventure,1950s
41648,tt0042383,"Davy Crockett, Indian Scout",1950,71,Western,1950s
41658,tt0042393,Destination Moon,1950,92,Adventure,1950s
41658,tt0042393,Destination Moon,1950,92,Drama,1950s
41658,tt0042393,Destination Moon,1950,92,Sci-Fi,1950s
41660,tt0042395,Devil's Doorway,1950,84,Romance,1950s
41660,tt0042395,Devil's Doorway,1950,84,Western,1950s
41662,tt0042397,Dial 1119,1950,75,Film-Noir,1950s
41662,tt0042397,Dial 1119,1950,75,Thriller,1950s
41674,tt0042409,Das doppelte Lottchen,1950,105,Comedy,1950s
41674,tt0042409,Das doppelte Lottchen,1950,105,Family,1950s
41675,tt0042410,Double Confession,1950,80,Crime,1950s
41675,tt0042410,Double Confession,1950,80,Drama,1950s
41692,tt0042428,Edge of Doom,1950,99,Crime,1950s
41692,tt0042428,Edge of Doom,1950,99,Drama,1950s
41692,tt0042428,Edge of Doom,1950,99,Film-Noir,1950s
41693,tt0042429,Edward and Caroline,1951,88,Comedy,1950s
41693,tt0042429,Edward and Caroline,1951,88,Drama,1950s
41693,tt0042429,Edward and Caroline,1951,88,Romance,1950s
41700,tt0042436,Les Enfants Terribles,1950,105,Drama,1950s
41711,tt0042447,Fancy Pants,1950,92,Comedy,1950s
41711,tt0042447,Fancy Pants,1950,92,Musical,1950s
41711,tt0042447,Fancy Pants,1950,92,Western,1950s
41715,tt0042451,Father of the Bride,1950,92,Comedy,1950s
41715,tt0042451,Father of the Bride,1950,92,Romance,1950s
41728,tt0042464,The Flame and the Arrow,1950,88,Adventure,1950s
41728,tt0042464,The Flame and the Arrow,1950,88,Drama,1950s
41728,tt0042464,The Flame and the Arrow,1950,88,Romance,1950s
41741,tt0042477,The Flowers of St. Francis,1950,85,Biography,1950s
41741,tt0042477,The Flowers of St. Francis,1950,85,Comedy,1950s
41741,tt0042477,The Flowers of St. Francis,1950,85,Drama,1950s
41752,tt0042488,The Fuller Brush Girl,1950,85,Action,1950s
41752,tt0042488,The Fuller Brush Girl,1950,85,Adventure,1950s
41752,tt0042488,The Fuller Brush Girl,1950,85,Comedy,1950s
41754,tt0042490,The Furies,1950,109,Drama,1950s
41754,tt0042490,The Furies,1950,109,Romance,1950s
41754,tt0042490,The Furies,1950,109,Western,1950s
41760,tt0042496,Gambling House,1950,80,Crime,1950s
41760,tt0042496,Gambling House,1950,80,Drama,1950s
41760,tt0042496,Gambling House,1950,80,Film-Noir,1950s
41772,tt0042509,The Glass Menagerie,1950,107,Drama,1950s
41776,tt0042513,Gone to Earth,1950,82,Drama,1950s
41776,tt0042513,Gone to Earth,1950,82,Romance,1950s
41777,tt0042514,The Good Humor Man,1950,80,Action,1950s
41777,tt0042514,The Good Humor Man,1950,80,Adventure,1950s
41777,tt0042514,The Good Humor Man,1950,80,Comedy,1950s
41785,tt0042522,The Great Manhunt,1950,104,Drama,1950s
41785,tt0042522,The Great Manhunt,1950,104,Romance,1950s
41785,tt0042522,The Great Manhunt,1950,104,Thriller,1950s
41787,tt0042524,The Great Rupert,1950,87,Comedy,1950s
41787,tt0042524,The Great Rupert,1950,87,Family,1950s
41793,tt0042530,Gun Crazy,1950,87,Crime,1950s
41793,tt0042530,Gun Crazy,1950,87,Drama,1950s
41793,tt0042530,Gun Crazy,1950,87,Film-Noir,1950s
41794,tt0042531,The Gunfighter,1950,85,Western,1950s
41802,tt0042539,Halls of Montezuma,1951,113,Action,1950s
41802,tt0042539,Halls of Montezuma,1951,113,Adventure,1950s
41802,tt0042539,Halls of Montezuma,1951,113,Drama,1950s
41804,tt0042541,The Happiest Days of Your Life,1950,81,Comedy,1950s
41807,tt0042544,Harriet Craig,1950,94,Drama,1950s
41809,tt0042546,Harvey,1950,104,Comedy,1950s
41809,tt0042546,Harvey,1950,104,Drama,1950s
41809,tt0042546,Harvey,1950,104,Fantasy,1950s
41815,tt0042553,Highly Dangerous,1950,90,Action,1950s
41815,tt0042553,Highly Dangerous,1950,90,Thriller,1950s
41840,tt0042579,House by the River,1950,83,Crime,1950s
41840,tt0042579,House by the River,1950,83,Drama,1950s
41840,tt0042579,House by the River,1950,83,Film-Noir,1950s
41849,tt0042588,I Was a Shoplifter,1950,74,Crime,1950s
41849,tt0042588,I Was a Shoplifter,1950,74,Drama,1950s
41849,tt0042588,I Was a Shoplifter,1950,74,Film-Noir,1950s
41850,tt0042589,I'll Get By,1950,83,Comedy,1950s
41850,tt0042589,I'll Get By,1950,83,Musical,1950s
41850,tt0042589,I'll Get By,1950,83,Romance,1950s
41854,tt0042593,In a Lonely Place,1950,94,Drama,1950s
41854,tt0042593,In a Lonely Place,1950,94,Film-Noir,1950s
41854,tt0042593,In a Lonely Place,1950,94,Mystery,1950s
41868,tt0042608,It's a Small World,1950,74,Drama,1950s
41869,tt0042609,The Jackie Robinson Story,1950,77,Biography,1950s
41869,tt0042609,The Jackie Robinson Story,1950,77,Drama,1950s
41869,tt0042609,The Jackie Robinson Story,1950,77,Sport,1950s
41870,tt0042610,The Jackpot,1950,85,Comedy,1950s
41879,tt0042619,Diary of a Country Priest,1951,115,Drama,1950s
41889,tt0042629,Kansas Raiders,1950,80,Western,1950s
41904,tt0042644,Kim,1950,113,Adventure,1950s
41904,tt0042644,Kim,1950,113,Drama,1950s
41904,tt0042644,Kim,1950,113,Family,1950s
41906,tt0042646,King Solomon's Mines,1950,103,Action,1950s
41906,tt0042646,King Solomon's Mines,1950,103,Adventure,1950s
41906,tt0042646,King Solomon's Mines,1950,103,Romance,1950s
41924,tt0042664,A Lady Without Passport,1950,74,Crime,1950s
41924,tt0042664,A Lady Without Passport,1950,74,Drama,1950s
41924,tt0042664,A Lady Without Passport,1950,74,Film-Noir,1950s
41925,tt0042665,Last Holiday,1950,88,Comedy,1950s
41925,tt0042665,Last Holiday,1950,88,Drama,1950s
41925,tt0042665,Last Holiday,1950,88,Romance,1950s
41929,tt0042669,The Lawless,1950,83,Crime,1950s
41929,tt0042669,The Lawless,1950,83,Drama,1950s
41929,tt0042669,The Lawless,1950,83,Film-Noir,1950s
41934,tt0042674,Let's Dance,1950,112,Comedy,1950s
41934,tt0042674,Let's Dance,1950,112,Drama,1950s
41934,tt0042674,Let's Dance,1950,112,Musical,1950s
41937,tt0042677,A Life of Her Own,1950,108,Drama,1950s
41951,tt0042692,Variety Lights,1950,97,Drama,1950s
41951,tt0042692,Variety Lights,1950,97,Music,1950s
41951,tt0042692,Variety Lights,1950,97,Romance,1950s
41952,tt0042693,Lucky Losers,1950,70,Action,1950s
41952,tt0042693,Lucky Losers,1950,70,Adventure,1950s
41952,tt0042693,Lucky Losers,1950,70,Comedy,1950s
41956,tt0042697,Ma and Pa Kettle Go to Town,1950,79,Comedy,1950s
41956,tt0042697,Ma and Pa Kettle Go to Town,1950,79,Crime,1950s
41959,tt0042700,Madeleine,1950,114,Crime,1950s
41959,tt0042700,Madeleine,1950,114,Drama,1950s
41959,tt0042700,Madeleine,1950,114,Mystery,1950s
41961,tt0042702,The Magnificent Yankee,1950,89,Biography,1950s
41961,tt0042702,The Magnificent Yankee,1950,89,Drama,1950s
41966,tt0042707,The Man Who Cheated Himself,1950,81,Crime,1950s
41966,tt0042707,The Man Who Cheated Himself,1950,81,Drama,1950s
41966,tt0042707,The Man Who Cheated Himself,1950,81,Film-Noir,1950s
41986,tt0042727,The Men,1950,85,Drama,1950s
42000,tt0042742,Mister 880,1950,90,Comedy,1950s
42000,tt0042742,Mister 880,1950,90,Crime,1950s
42000,tt0042742,Mister 880,1950,90,Romance,1950s
42002,tt0042744,Montana,1950,76,Western,1950s
42010,tt0042752,Trio,1950,91,Drama,1950s
42010,tt0042752,Trio,1950,91,Romance,1950s
42014,tt0042757,The Mudlark,1950,99,Drama,1950s
42019,tt0042762,The Munekata Sisters,1950,112,Drama,1950s
42024,tt0042767,My Blue Heaven,1950,96,Drama,1950s
42024,tt0042767,My Blue Heaven,1950,96,Musical,1950s
42026,tt0042769,My Friend Irma Goes West,1950,91,Comedy,1950s
42026,tt0042769,My Friend Irma Goes West,1950,91,Crime,1950s
42026,tt0042769,My Friend Irma Goes West,1950,91,Musical,1950s
42027,tt0042771,Mystery Street,1950,93,Crime,1950s
42027,tt0042771,Mystery Street,1950,93,Drama,1950s
42027,tt0042771,Mystery Street,1950,93,Film-Noir,1950s
42035,tt0042779,Nancy Goes to Rio,1950,100,Comedy,1950s
42035,tt0042779,Nancy Goes to Rio,1950,100,Musical,1950s
42036,tt0042780,Side Street Story,1950,96,Comedy,1950s
42039,tt0042783,Never Fear,1950,82,Drama,1950s
42040,tt0042784,Never a Dull Moment,1950,89,Comedy,1950s
42040,tt0042784,Never a Dull Moment,1950,89,Romance,1950s
42040,tt0042784,Never a Dull Moment,1950,89,Western,1950s
42042,tt0042786,The Next Voice You Hear...,1950,83,Drama,1950s
42042,tt0042786,The Next Voice You Hear...,1950,83,Fantasy,1950s
42044,tt0042788,Night and the City,1950,101,Crime,1950s
42044,tt0042788,Night and the City,1950,101,Film-Noir,1950s
42044,tt0042788,Night and the City,1950,101,Mystery,1950s
42046,tt0042790,No Sad Songs for Me,1950,88,Drama,1950s
42048,tt0042792,No Way Out,1950,106,Crime,1950s
42048,tt0042792,No Way Out,1950,106,Drama,1950s
42048,tt0042792,No Way Out,1950,106,Film-Noir,1950s
42060,tt0042804,Los Olvidados,1950,85,Crime,1950s
42060,tt0042804,Los Olvidados,1950,85,Drama,1950s
42065,tt0042809,One Way Street,1950,79,Crime,1950s
42065,tt0042809,One Way Street,1950,79,Drama,1950s
42065,tt0042809,One Way Street,1950,79,Film-Noir,1950s
42066,tt0042810,Operation Disaster,1950,102,Drama,1950s
42066,tt0042810,Operation Disaster,1950,102,History,1950s
42066,tt0042810,Operation Disaster,1950,102,War,1950s
42080,tt0042824,Outrage,1950,75,Crime,1950s
42080,tt0042824,Outrage,1950,75,Drama,1950s
42080,tt0042824,Outrage,1950,75,Film-Noir,1950s
42084,tt0042829,Pagan Love Song,1950,76,Musical,1950s
42084,tt0042829,Pagan Love Song,1950,76,Romance,1950s
42085,tt0042830,Paid in Full,1950,98,Drama,1950s
42087,tt0042832,Panic in the Streets,1950,96,Crime,1950s
42087,tt0042832,Panic in the Streets,1950,96,Drama,1950s
42087,tt0042832,Panic in the Streets,1950,96,Film-Noir,1950s
42106,tt0042851,Pool of London,1951,85,Crime,1950s
42106,tt0042851,Pool of London,1951,85,Drama,1950s
42113,tt0042858,Pretty Baby,1950,92,Comedy,1950s
42131,tt0042876,Rashomon,1950,88,Crime,1950s
42131,tt0042876,Rashomon,1950,88,Drama,1950s
42131,tt0042876,Rashomon,1950,88,Mystery,1950s
42138,tt0042883,The Reformer and the Redhead,1950,90,Comedy,1950s
42138,tt0042883,The Reformer and the Redhead,1950,90,Romance,1950s
42149,tt0042894,Right Cross,1950,90,Drama,1950s
42149,tt0042894,Right Cross,1950,90,Sport,1950s
42150,tt0042895,Rio Grande,1950,105,Romance,1950s
42150,tt0042895,Rio Grande,1950,105,Western,1950s
42161,tt0042906,La Ronde,1950,93,Drama,1950s
42161,tt0042906,La Ronde,1950,93,Romance,1950s
42187,tt0042935,The Secret Fury,1950,85,Crime,1950s
42187,tt0042935,The Secret Fury,1950,85,Drama,1950s
42187,tt0042935,The Secret Fury,1950,85,Film-Noir,1950s
42201,tt0042949,Seven Days to Noon,1950,94,Drama,1950s
42201,tt0042949,Seven Days to Noon,1950,94,Thriller,1950s
42204,tt0042952,Shadow on the Wall,1950,84,Crime,1950s
42204,tt0042952,Shadow on the Wall,1950,84,Drama,1950s
42204,tt0042952,Shadow on the Wall,1950,84,Film-Noir,1950s
42205,tt0042953,Shakedown,1950,80,Crime,1950s
42205,tt0042953,Shakedown,1950,80,Drama,1950s
42205,tt0042953,Shakedown,1950,80,Film-Noir,1950s
42210,tt0042958,Scandal,1950,104,Drama,1950s
42212,tt0042960,Side Street,1950,83,Crime,1950s
42212,tt0042960,Side Street,1950,83,Drama,1950s
42212,tt0042960,Side Street,1950,83,Film-Noir,1950s
42217,tt0042965,El siete machos,1951,98,Comedy,1950s
42217,tt0042965,El siete machos,1951,98,Western,1950s
42240,tt0042988,Under the Paris Sky,1951,114,Drama,1950s
42241,tt0042989,Southside 1-1000,1950,73,Crime,1950s
42241,tt0042989,Southside 1-1000,1950,73,Drama,1950s
42241,tt0042989,Southside 1-1000,1950,73,Film-Noir,1950s
42246,tt0042994,Stage Fright,1950,110,Film-Noir,1950s
42246,tt0042994,Stage Fright,1950,110,Mystery,1950s
42246,tt0042994,Stage Fright,1950,110,Thriller,1950s
42250,tt0042998,Stars in My Crown,1950,89,Drama,1950s
42250,tt0042998,Stars in My Crown,1950,89,Family,1950s
42250,tt0042998,Stars in My Crown,1950,89,Western,1950s
42252,tt0043000,Stella,1950,83,Comedy,1950s
42264,tt0043012,Summer Stock,1950,108,Musical,1950s
42264,tt0043012,Summer Stock,1950,108,Romance,1950s
42266,tt0043014,Sunset Blvd.,1950,110,Drama,1950s
42266,tt0043014,Sunset Blvd.,1950,110,Film-Noir,1950s
42270,tt0043018,Susana,1951,86,Drama,1950s
42282,tt0043030,Tea for Two,1950,98,Comedy,1950s
42282,tt0043030,Tea for Two,1950,98,Musical,1950s
42282,tt0043030,Tea for Two,1950,98,Romance,1950s
42292,tt0043040,This Side of the Law,1950,74,Drama,1950s
42292,tt0043040,This Side of the Law,1950,74,Film-Noir,1950s
42292,tt0043040,This Side of the Law,1950,74,Mystery,1950s
42293,tt0043041,Three Came Home,1950,106,Drama,1950s
42293,tt0043041,Three Came Home,1950,106,War,1950s
42296,tt0043044,Three Little Words,1950,102,Biography,1950s
42296,tt0043044,Three Little Words,1950,102,Comedy,1950s
42296,tt0043044,Three Little Words,1950,102,Musical,1950s
42297,tt0043045,Three Secrets,1950,98,Drama,1950s
42305,tt0043053,The Toast of New Orleans,1950,97,Musical,1950s
42310,tt0043059,Totò sceicco,1950,95,Comedy,1950s
42318,tt0043067,Treasure Island,1950,96,Adventure,1950s
42318,tt0043067,Treasure Island,1950,96,Family,1950s
42321,tt0043071,Triple Trouble,1950,67,Action,1950s
42321,tt0043071,Triple Trouble,1950,67,Comedy,1950s
42321,tt0043071,Triple Trouble,1950,67,Crime,1950s
42325,tt0043075,The Sound of Fury,1950,91,Crime,1950s
42325,tt0043075,The Sound of Fury,1950,91,Drama,1950s
42325,tt0043075,The Sound of Fury,1950,91,Film-Noir,1950s
42329,tt0043079,Two Flags West,1950,92,Drama,1950s
42329,tt0043079,Two Flags West,1950,92,Romance,1950s
42329,tt0043079,Two Flags West,1950,92,War,1950s
42331,tt0043081,Two Weeks with Love,1950,90,Comedy,1950s
42331,tt0043081,Two Weeks with Love,1950,90,Musical,1950s
42331,tt0043081,Two Weeks with Love,1950,90,Romance,1950s
42336,tt0043086,Under the Gun,1951,83,Crime,1950s
42336,tt0043086,Under the Gun,1951,83,Drama,1950s
42336,tt0043086,Under the Gun,1951,83,Film-Noir,1950s
42338,tt0043088,The Underworld Story,1950,91,Crime,1950s
42338,tt0043088,The Underworld Story,1950,91,Drama,1950s
42338,tt0043088,The Underworld Story,1950,91,Film-Noir,1950s
42340,tt0043090,Union Station,1950,81,Crime,1950s
42340,tt0043090,Union Station,1950,81,Drama,1950s
42340,tt0043090,Union Station,1950,81,Film-Noir,1950s
42365,tt0043115,Victims of Sin,1951,90,Crime,1950s
42365,tt0043115,Victims of Sin,1951,90,Drama,1950s
42365,tt0043115,Victims of Sin,1951,90,Musical,1950s
42366,tt0043116,Wabash Avenue,1950,92,Musical,1950s
42367,tt0043117,Wagon Master,1950,86,Western,1950s
42368,tt0043118,"Walk Softly, Stranger",1950,81,Crime,1950s
42368,tt0043118,"Walk Softly, Stranger",1950,81,Drama,1950s
42368,tt0043118,"Walk Softly, Stranger",1950,81,Film-Noir,1950s
42370,tt0043120,Watch the Birdie,1950,71,Comedy,1950s
42370,tt0043120,Watch the Birdie,1950,71,Crime,1950s
42370,tt0043120,Watch the Birdie,1950,71,Romance,1950s
42373,tt0043123,The West Point Story,1950,107,Comedy,1950s
42373,tt0043123,The West Point Story,1950,107,Music,1950s
42379,tt0043129,When Willie Comes Marching Home,1950,82,Comedy,1950s
42379,tt0043129,When Willie Comes Marching Home,1950,82,War,1950s
42381,tt0043131,Where Danger Lives,1950,82,Crime,1950s
42381,tt0043131,Where Danger Lives,1950,82,Film-Noir,1950s
42381,tt0043131,Where Danger Lives,1950,82,Thriller,1950s
42382,tt0043132,Where the Sidewalk Ends,1950,95,Crime,1950s
42382,tt0043132,Where the Sidewalk Ends,1950,95,Drama,1950s
42382,tt0043132,Where the Sidewalk Ends,1950,95,Film-Noir,1950s
42386,tt0043137,Winchester '73,1950,92,Action,1950s
42386,tt0043137,Winchester '73,1950,92,Drama,1950s
42386,tt0043137,Winchester '73,1950,92,Western,1950s
42389,tt0043140,Five Angles on Murder,1950,88,Crime,1950s
42389,tt0043140,Five Angles on Murder,1950,88,Drama,1950s
42389,tt0043140,Five Angles on Murder,1950,88,Mystery,1950s
42391,tt0043142,Woman on the Run,1950,77,Crime,1950s
42391,tt0043142,Woman on the Run,1950,77,Drama,1950s
42391,tt0043142,Woman on the Run,1950,77,Film-Noir,1950s
42396,tt0043147,The Wooden Horse,1950,101,Drama,1950s
42396,tt0043147,The Wooden Horse,1950,101,History,1950s
42396,tt0043147,The Wooden Horse,1950,101,War,1950s
42399,tt0043150,The Yellow Cab Man,1950,85,Comedy,1950s
42399,tt0043150,The Yellow Cab Man,1950,85,Drama,1950s
42399,tt0043150,The Yellow Cab Man,1950,85,Romance,1950s
42401,tt0043153,Young Man with a Horn,1950,112,Biography,1950s
42401,tt0043153,Young Man with a Horn,1950,112,Drama,1950s
42401,tt0043153,Young Man with a Horn,1950,112,Music,1950s
42498,tt0043251,The 13th Letter,1951,85,Film-Noir,1950s
42498,tt0043251,The 13th Letter,1951,85,Mystery,1950s
42502,tt0043255,Bud Abbott and Lou Costello Meet the Invisible Man,1951,82,Comedy,1950s
42502,tt0043255,Bud Abbott and Lou Costello Meet the Invisible Man,1951,82,Family,1950s
42502,tt0043255,Bud Abbott and Lou Costello Meet the Invisible Man,1951,82,Sci-Fi,1950s
42508,tt0043261,Attention! Bandits!,1951,90,Drama,1950s
42508,tt0043261,Attention! Bandits!,1951,90,War,1950s
42509,tt0043262,Across the Wide Missouri,1951,78,Adventure,1950s
42509,tt0043262,Across the Wide Missouri,1951,78,Romance,1950s
42509,tt0043262,Across the Wide Missouri,1951,78,Western,1950s
42512,tt0043265,The African Queen,1951,105,Adventure,1950s
42512,tt0043265,The African Queen,1951,105,Drama,1950s
42512,tt0043265,The African Queen,1951,105,Romance,1950s
42521,tt0043274,Alice in Wonderland,1951,75,Adventure,1950s
42521,tt0043274,Alice in Wonderland,1951,75,Animation,1950s
42521,tt0043274,Alice in Wonderland,1951,75,Comedy,1950s
42523,tt0043276,Along the Great Divide,1951,88,Western,1950s
42525,tt0043278,An American in Paris,1951,114,Drama,1950s
42525,tt0043278,An American in Paris,1951,114,Musical,1950s
42525,tt0043278,An American in Paris,1951,114,Romance,1950s
42532,tt0043286,Angels in the Outfield,1951,99,Comedy,1950s
42532,tt0043286,Angels in the Outfield,1951,99,Family,1950s
42532,tt0043286,Angels in the Outfield,1951,99,Fantasy,1950s
42534,tt0043288,Anne of the Indies,1951,81,Action,1950s
42534,tt0043288,Anne of the Indies,1951,81,Adventure,1950s
42534,tt0043288,Anne of the Indies,1951,81,Drama,1950s
42537,tt0043291,Apache Drums,1951,76,Action,1950s
42537,tt0043291,Apache Drums,1951,76,Adventure,1950s
42537,tt0043291,Apache Drums,1951,76,Drama,1950s
42538,tt0043292,Appointment with Danger,1950,90,Crime,1950s
42538,tt0043292,Appointment with Danger,1950,90,Drama,1950s
42538,tt0043292,Appointment with Danger,1950,90,Film-Noir,1950s
42549,tt0043303,The Red Inn,1951,98,Comedy,1950s
